StarID,RA,Dec,Spectrum
546,0.15434287,25.28231728,G0          
547,0.15460423,65.07079864,K0          
548,0.15515948,-59.06036312,G8III       
549,0.15540045,17.53423872,G2III       
550,0.15550801,79.71464113,A7IV        
551,0.15583908,-27.9879039,F3V         
552,0.15646358,58.66590161,B5V         
553,0.1566329,14.41766587,F0          
554,0.15681663,-45.74698836,K0III       
555,0.15683345,0.07209314,F5          
556,0.15765959,46.38790478,B9          
557,0.1577728,19.11569982,G3V         
558,0.15778317,1.24402533,G5          
559,0.15844963,-10.18755017,K0          
560,0.15852753,-34.11077214,G3V         
561,0.15861311,19.55922468,G8IV        
562,0.15946945,-66.02972893,K1III       
563,0.15978316,-21.38186598,F5V         
564,0.16012138,26.68206689,K0          
565,0.16091769,-56.19178561,G8III       
566,0.16147926,-63.58967752,M2III       
567,0.16155802,-37.31481117,F3/F5V      
568,0.16210387,-31.82493921,K1/K2V      
569,0.16345947,-40.8926432,G3V         
570,0.16346061,19.38130034,G0          
571,0.1635164,-6.84116094,G5          
572,0.16388102,53.5266575,G5          
573,0.16392357,-33.78868219,K1V         
574,0.16433755,8.45319673,G5          
575,0.16438047,11.41627112,F5          
576,0.16447101,-62.29683686,A6V         
577,0.16456054,51.42303822,K0          
578,0.16457131,12.7108424,K0          
579,0.16469698,-50.26778193,G2/G3V      
580,0.16527508,4.83249243,G5          
581,0.1652829,-2.5612296,K2          
582,0.16566031,-78.5905409,K1IV/V      
583,0.1657607,-44.66648659,K1II        
584,0.16586401,4.16612269,K5          
585,0.16596353,8.57704143,F8          
586,0.16613741,-65.35709708,K0III       
587,0.16640784,-25.87473632,A2V         
588,0.1672735,11.14580908,B9V         
589,0.16729695,-82.22399743,K1/K2III    
590,0.16740094,-63.29667598,F3V         
591,0.16755099,46.39035323,A3+...      
592,0.16757805,-8.97418208,F0          
593,0.16789305,-79.00183917,F5V         
594,0.16812106,84.15197251,F5          
595,0.16819115,25.19788575,M...        
596,0.16851776,50.8068353,K0          
597,0.16853402,47.3068396,G5          
598,0.1686865,39.64894107,F0          
599,0.16888711,-78.3006603,K3III       
600,0.16924561,-49.14331204,F5V         
601,0.16958493,64.64672491,K0          
602,0.17028537,25.52675303,F0III       
603,0.1705832,60.0260491,G8III       
604,0.17118878,50.88488337,K0          
605,0.17123766,52.25514295,B9          
606,0.17190257,-5.24851713,K1III       
607,0.17201167,46.07227117,F2II        
608,0.17304646,-13.98412856,G2V         
609,0.17306463,-11.78583365,F7V         
610,0.17338933,58.48950539,A           
611,0.1735903,-6.03970203,K0          
612,0.17396762,-14.45220836,F7V         
613,0.17410051,28.65292193,M4III:      
614,0.17456344,13.59498069,G0          
615,0.17472271,51.9123888,K0          
616,0.17489276,15.23192856,F6V         
617,0.17490535,57.16549747,B7IV        
618,0.1756713,33.1308857,K4III       
619,0.17617671,52.31675606,A0          
620,0.17629219,59.67341444,B1V         
621,0.17685336,-41.11858278,K0III       
622,0.17717156,-63.63430723,F7IV        
623,0.17730819,-73.22443438,F3/F5IV+... 
624,0.17742997,56.05613623,A0          
625,0.17752896,12.82027132,G5          
626,0.17757495,2.30067277,K2          
627,0.17795843,13.22299119,F5          
628,0.17798082,2.05549803,F8          
629,0.17835239,54.89149475,B7IIIe+K3III
630,0.1784609,-54.40037514,G3V         
631,0.17854038,-12.57980381,K0III       
632,0.17920465,58.01831644,B9          
633,0.17938401,-38.76885912,G2V         
634,0.17954068,55.34282756,G5          
635,0.17954397,58.7695199,B7V         
636,0.17957148,-21.93357013,K0III       
637,0.17967321,37.47386216,F2          
638,0.17967788,-34.86071198,K0III       
639,0.17977563,32.24257302,M...        
640,0.17983669,-57.48628559,F6IV/V      
641,0.18003702,51.17784908,K5          
642,0.18009257,49.01075823,B9          
643,0.18013467,30.68565518,A0          
644,0.18152265,-13.90281571,K1/K2III    
645,0.18219986,48.1104051,G5          
646,0.18221949,-42.25160366,K1III       
647,0.18247484,-2.07451183,K2          
648,0.18276653,-18.57284278,M3III       
649,0.1828172,52.44279023,F5          
650,0.18372621,29.55052263,F5V         
651,0.18457256,-5.78399441,M2          
652,0.18458005,5.20868148,M2V:        
653,0.18490022,4.1331073,G5          
654,0.18552641,57.58791462,K1III       
655,0.1857789,-87.41423771,F8/G0V      
656,0.18584637,-7.37619874,F8          
657,0.18592842,49.5466666,A2          
658,0.18600847,-3.32135959,G5          
659,0.18743114,10.63603546,K0          
660,0.18768864,7.94816079,K2          
661,0.18775227,-15.46732287,F5V         
662,0.18819182,-29.64051891,K2III       
663,0.188288,-40.37268546,K0III/IV    
664,0.1883622,-32.80041484,G6V         
665,0.18877231,-32.40387891,A3V         
666,0.18913516,58.3498627,K7          
667,0.18945221,74.48458019,K0          
668,0.18952649,30.44948927,K0V         
669,0.19012519,23.81814771,G0          
670,0.19146875,-18.70689324,F3V         
671,0.19190613,-49.62920981,G6/G8V      
672,0.19194035,-1.12332479,K2          
673,0.1919808,40.39896612,K0          
674,0.19206402,-55.74966102,F3V         
675,0.19209335,-34.4600917,K2III       
676,0.19243821,-58.90982912,G4V         
677,0.19289362,-27.7997782,K2III       
678,0.19308953,-3.07799719,F8...       
679,0.1931385,-18.60067836,K0III       
680,0.1932191,7.12150984,K2          
681,0.19322617,33.68029254,A0          
682,0.19323539,-57.47238652,K1V         
683,0.19324554,-5.06817692,K2          
684,0.19343998,-23.63236655,F7V         
685,0.19353612,-80.17376516,G8III       
686,0.19355639,-17.96890292,K0IV        
687,0.19365181,58.21183567,B5II: SB    
688,0.19368484,-72.27547333,F6V         
689,0.19374302,10.32845614,G0          
690,0.19390646,-49.65588618,K0p...      
691,0.19414811,55.96148616,B8          
